strike,hits,retail_juice,mm_juice,gamma
618,0,0.0,0.0,0.5414728215017475
619,0,0.0,0.0,0.45720139809569726
620,0,0.0,0.0,0.43900204893334943
621,0,0.0,0.0,0.5090996745811738
622,0,0.0,0.0,0.5592382788959865
623,0,0.0,0.0,0.4629143063757985
624,0,0.0,0.0,0.548945401952513
625,0,0.0,0.0,0.5780402555140413
626,0,0.0,0.0,0.46409545618898396
627,0,0.0,0.0,0.46643365071712667
628,0,0.0,0.0,0.5393997830541161
629,46,13.800000000000011,32.19999999999998,1.0
630,0,0.0,0.0,0.47805230806315535
631,0,0.0,0.0,0.3793419308183681
632,0,0.0,0.0,0.33944799325057246
633,0,0.0,0.0,0.30061468000482094
634,0,0.0,0.0,0.2640472459925274
635,0,0.0,0.0,0.2584789683017958
636,0,0.0,0.0,0.19975894901771724
637,0,0.0,0.0,0.17174882487646137
638,0,0.0,0.0,0.14699288899602264
